https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1593374400000,2020-06-28 20:00:00,ETHUSDC,224.12,225.6,224.12,224.91,479.50722,107795.4851433,105
1593370800000,2020-06-28 19:00:00,ETHUSDC,226.98,227.24,223.66,224.06,849.55691,191554.5185308,221
1593367200000,2020-06-28 18:00:00,ETHUSDC,226.98,227.12,226.33,226.9,209.00364,47427.3647842,84
1593363600000,2020-06-28 17:00:00,ETHUSDC,226.17,226.69,225.22,226.69,198.40651,44873.8233091,65
1593360000000,2020-06-28 16:00:00,ETHUSDC,226.29,227.75,225.69,225.84,504.98731,114490.3459636,131
1593356400000,2020-06-28 15:00:00,ETHUSDC,226.28,226.28,225.09,226.11,177.61084,40078.5511274,59
1593352800000,2020-06-28 14:00:00,ETHUSDC,222.93,226.68,222.93,226.35,370.02497,83090.1692049,163
1593349200000,2020-06-28 13:00:00,ETHUSDC,223.2,223.24,222.51,222.95,64.29593,14331.9261728,65
1593345600000,2020-06-28 12:00:00,ETHUSDC,223.11,223.6,222.02,222.79,457.39922,101886.7545403,119
1593342000000,2020-06-28 11:00:00,ETHUSDC,222.65,224.6,222.65,223.08,398.63428,88985.7200615,124
1593338400000,2020-06-28 10:00:00,ETHUSDC,223.16,223.41,222.67,222.71,184.97972,41291.8015948,63
1593334800000,2020-06-28 09:00:00,ETHUSDC,221.6,223.65,221.06,223.17,637.85721,141713.7119449,144
1593331200000,2020-06-28 08:00:00,ETHUSDC,220.33,222.0,219.82,221.43,306.87397,67790.3966538,92
1593327600000,2020-06-28 07:00:00,ETHUSDC,220.28,220.8,219.46,220.36,288.3157,63359.5896387,103
1593324000000,2020-06-28 06:00:00,ETHUSDC,218.5,220.76,218.39,220.29,379.57207,83427.3718072,150
1593320400000,2020-06-28 05:00:00,ETHUSDC,219.05,219.26,218.29,218.41,584.05894,127789.0575061,122
1593306000000,2020-06-28 01:00:00,ETHUSDC,219.61,219.93,218.84,218.84,313.06161,68719.4015624,78
1593302400000,2020-06-28 00:00:00,ETHUSDC,220.64,220.64,218.9,219.5,167.08958,36691.8406782,79
1593298800000,2020-06-27 23:00:00,ETHUSDC,219.61,221.56,218.98,220.71,385.13919,84829.6222225,109
1593295200000,2020-06-27 22:00:00,ETHUSDC,221.58,221.9,219.35,219.46,297.84251,65708.091577,111
1593291600000,2020-06-27 21:00:00,ETHUSDC,218.44,222.12,218.44,221.89,410.01289,90077.8167301,174
1593288000000,2020-06-27 20:00:00,ETHUSDC,216.89,219.75,216.29,218.64,1389.3107,303706.4262174,298
1593284400000,2020-06-27 19:00:00,ETHUSDC,224.93,225.07,215.42,217.48,1288.57555,284171.3980151,444
1593280800000,2020-06-27 18:00:00,ETHUSDC,224.43,225.44,224.2,225.16,201.00551,45187.3888291,76
1593277200000,2020-06-27 17:00:00,ETHUSDC,225.39,226.68,224.43,224.76,601.74946,135504.7484112,126
1593273600000,2020-06-27 16:00:00,ETHUSDC,227.18,227.77,224.11,225.75,815.18374,184075.906664,270
1593270000000,2020-06-27 15:00:00,ETHUSDC,228.63,228.66,226.01,227.35,629.1947,143323.3059482,237
1593266400000,2020-06-27 14:00:00,ETHUSDC,229.25,229.28,227.88,228.71,903.56529,206573.27726,188
1593262800000,2020-06-27 13:00:00,ETHUSDC,229.48,229.8,229.12,229.41,579.47105,132960.7175758,141
1593259200000,2020-06-27 12:00:00,ETHUSDC,229.52,229.85,229.1,229.45,319.31103,73278.1679522,88
1593255600000,2020-06-27 11:00:00,ETHUSDC,229.03,230.11,228.77,229.41,179.53702,41163.3980398,87
1593252000000,2020-06-27 10:00:00,ETHUSDC,229.23,229.87,229.0,229.0,212.80591,48780.4728973,73
1593248400000,2020-06-27 09:00:00,ETHUSDC,230.1,230.15,229.28,229.41,151.30333,34772.5755905,99
1593244800000,2020-06-27 08:00:00,ETHUSDC,230.16,231.0,229.93,229.93,238.12763,54813.6586019,57
1593241200000,2020-06-27 07:00:00,ETHUSDC,230.47,230.47,229.71,230.31,249.71554,57461.0630475,101
1593237600000,2020-06-27 06:00:00,ETHUSDC,229.54,230.29,229.33,230.11,1242.3163,285664.8569838,237
1593234000000,2020-06-27 05:00:00,ETHUSDC,229.34,229.55,228.85,229.53,631.63735,144645.9230441,160
1593230400000,2020-06-27 04:00:00,ETHUSDC,229.4,229.73,228.56,229.17,401.26897,91884.0882408,116
1593226800000,2020-06-27 03:00:00,ETHUSDC,228.85,230.05,228.58,229.26,340.37166,78068.3293207,96
1593223200000,2020-06-27 02:00:00,ETHUSDC,229.37,229.42,228.54,228.94,169.21297,38712.1727845,54
1593219600000,2020-06-27 01:00:00,ETHUSDC,229.22,229.41,228.38,229.31,364.83081,83510.9390535,112
1593216000000,2020-06-27 00:00:00,ETHUSDC,229.56,229.59,228.27,229.22,661.44864,151229.8106697,178
1593212400000,2020-06-26 23:00:00,ETHUSDC,229.5,230.08,229.24,229.38,137.6575,31621.295727,54
1593208800000,2020-06-26 22:00:00,ETHUSDC,230.42,230.79,229.88,229.93,222.74957,51297.3574576,91
1593205200000,2020-06-26 21:00:00,ETHUSDC,230.17,231.36,230.01,230.25,324.76303,74874.2997945,104
1593201600000,2020-06-26 20:00:00,ETHUSDC,230.02,230.61,229.89,230.19,239.72511,55185.363224,98
1593198000000,2020-06-26 19:00:00,ETHUSDC,229.44,229.89,228.98,229.73,339.92699,78029.8247184,105
1593194400000,2020-06-26 18:00:00,ETHUSDC,229.24,230.01,229.14,229.44,693.58175,159284.4543871,149
1593190800000,2020-06-26 17:00:00,ETHUSDC,229.42,230.03,229.27,229.27,207.09008,47568.7673255,79
1593187200000,2020-06-26 16:00:00,ETHUSDC,229.72,229.83,227.91,229.18,739.15807,169448.5777116,192
1593183600000,2020-06-26 15:00:00,ETHUSDC,228.49,231.12,228.49,229.75,487.56673,112177.3703238,154
1593180000000,2020-06-26 14:00:00,ETHUSDC,229.52,230.17,227.47,228.49,569.66762,130369.7081852,177
1593176400000,2020-06-26 13:00:00,ETHUSDC,231.51,231.63,229.64,229.64,392.01185,90383.2879021,126
1593172800000,2020-06-26 12:00:00,ETHUSDC,230.48,231.84,230.48,231.22,498.56663,115123.7765046,147
1593169200000,2020-06-26 11:00:00,ETHUSDC,231.06,231.2,229.3,230.48,412.17202,94875.7394445,143
1593165600000,2020-06-26 10:00:00,ETHUSDC,231.15,231.94,230.7,231.09,458.78146,106104.3856883,119
1593162000000,2020-06-26 09:00:00,ETHUSDC,229.19,231.44,228.18,231.03,864.44753,197942.8710293,206
1593158400000,2020-06-26 08:00:00,ETHUSDC,228.58,230.0,228.54,229.26,749.50681,171893.0616471,175
1593154800000,2020-06-26 07:00:00,ETHUSDC,230.84,230.84,227.74,228.48,2851.24002,652308.434803,463
1593151200000,2020-06-26 06:00:00,ETHUSDC,230.99,231.51,230.37,231.0,585.90458,135244.804324,126
1593147600000,2020-06-26 05:00:00,ETHUSDC,232.6,232.66,230.86,231.35,1470.31187,340992.4867608,222
1593144000000,2020-06-26 04:00:00,ETHUSDC,231.96,232.66,231.65,232.51,88.57837,20553.1137419,71
1593140400000,2020-06-26 03:00:00,ETHUSDC,231.96,232.26,231.22,232.02,168.01732,38914.4084549,93
1593136800000,2020-06-26 02:00:00,ETHUSDC,232.51,232.51,231.82,231.84,428.25316,99402.7809879,128
1593133200000,2020-06-26 01:00:00,ETHUSDC,233.07,233.37,232.51,232.51,332.02388,77346.4140292,90
1593129600000,2020-06-26 00:00:00,ETHUSDC,232.08,233.06,230.82,232.97,300.98979,69947.3831562,120
1593126000000,2020-06-25 23:00:00,ETHUSDC,232.57,232.74,232.12,232.34,163.67219,38038.1606966,141
1593122400000,2020-06-25 22:00:00,ETHUSDC,234.1,234.28,231.0,232.63,1614.58149,374901.5279893,323
1593118800000,2020-06-25 21:00:00,ETHUSDC,233.64,234.5,233.64,234.1,208.20331,48728.4107214,53
1593115200000,2020-06-25 20:00:00,ETHUSDC,233.78,233.96,233.58,233.58,168.99003,39487.8271527,67
1593111600000,2020-06-25 19:00:00,ETHUSDC,232.71,233.65,232.33,233.49,329.26403,76681.2280849,70
1593108000000,2020-06-25 18:00:00,ETHUSDC,233.5,233.56,232.84,232.93,198.40592,46244.8354263,49
1593104400000,2020-06-25 17:00:00,ETHUSDC,233.92,233.92,232.95,233.29,229.50819,53568.6872089,64
1593100800000,2020-06-25 16:00:00,ETHUSDC,233.59,234.45,232.71,233.81,689.28401,160765.8862599,167
1593097200000,2020-06-25 15:00:00,ETHUSDC,233.58,234.11,232.88,233.48,115.89327,27063.3769004,53
1593093600000,2020-06-25 14:00:00,ETHUSDC,232.57,234.61,232.57,233.78,1032.58232,241267.5159897,254
1593090000000,2020-06-25 13:00:00,ETHUSDC,232.02,233.14,231.5,232.45,202.99873,47177.4953151,101
1593086400000,2020-06-25 12:00:00,ETHUSDC,234.27,234.38,231.46,231.79,518.48626,120617.5678612,134
1593082800000,2020-06-25 11:00:00,ETHUSDC,233.62,235.08,233.46,234.41,591.69313,138675.0892455,115
1593079200000,2020-06-25 10:00:00,ETHUSDC,233.34,234.23,233.34,233.75,190.76038,44616.130796,79
1593075600000,2020-06-25 09:00:00,ETHUSDC,234.25,234.38,233.47,233.47,201.87909,47241.5555292,66
1593072000000,2020-06-25 08:00:00,ETHUSDC,231.29,234.78,231.29,234.3,705.27527,164926.5066395,170
1593068400000,2020-06-25 07:00:00,ETHUSDC,231.81,231.97,230.21,231.14,201.87049,46577.3795091,87
1593064800000,2020-06-25 06:00:00,ETHUSDC,232.05,232.22,231.46,232.03,156.89982,36376.1848443,52
1593061200000,2020-06-25 05:00:00,ETHUSDC,229.48,232.1,229.25,231.82,430.78322,99547.2356694,107
1593057600000,2020-06-25 04:00:00,ETHUSDC,229.15,230.46,229.15,229.77,745.91347,171275.8752384,188
1593054000000,2020-06-25 03:00:00,ETHUSDC,232.87,232.87,227.16,229.15,1287.86033,295260.0905094,336
1593050400000,2020-06-25 02:00:00,ETHUSDC,233.91,234.0,232.11,233.04,924.44354,215557.5095295,161
1593046800000,2020-06-25 01:00:00,ETHUSDC,233.99,234.98,233.93,233.98,135.75659,31819.003456,36
1593043200000,2020-06-25 00:00:00,ETHUSDC,234.22,234.6,233.21,233.93,117.72137,27529.1623886,64
1593039600000,2020-06-24 23:00:00,ETHUSDC,234.65,235.54,234.02,234.17,722.72907,169596.2293011,199
1593036000000,2020-06-24 22:00:00,ETHUSDC,234.75,235.05,234.21,234.43,167.40434,39271.4714795,43
1593032400000,2020-06-24 21:00:00,ETHUSDC,234.79,235.03,233.19,234.44,339.48425,79548.0263505,97
1593028800000,2020-06-24 20:00:00,ETHUSDC,233.63,234.79,233.41,234.62,141.56702,33188.6933618,60
1593025200000,2020-06-24 19:00:00,ETHUSDC,234.01,234.92,233.48,233.48,221.47339,51816.3565447,73
1593021600000,2020-06-24 18:00:00,ETHUSDC,233.97,234.76,233.58,233.8,383.36633,89787.0726995,117
1593018000000,2020-06-24 17:00:00,ETHUSDC,233.57,234.07,232.9,233.91,633.55367,147914.7481617,159
1593014400000,2020-06-24 16:00:00,ETHUSDC,231.65,234.05,231.0,233.59,1546.92458,360541.0167573,310
1593010800000,2020-06-24 15:00:00,ETHUSDC,235.09,236.02,230.76,231.84,888.14444,207890.0458284,321
1593007200000,2020-06-24 14:00:00,ETHUSDC,238.49,238.77,234.61,235.27,1502.55829,354760.8718871,246
1593003600000,2020-06-24 13:00:00,ETHUSDC,239.86,240.53,238.2,238.41,424.64655,101729.6420425,152
1593000000000,2020-06-24 12:00:00,ETHUSDC,237.57,240.27,236.95,240.27,721.19366,172389.1855741,174
1592996400000,2020-06-24 11:00:00,ETHUSDC,238.14,239.48,237.7,237.7,625.79843,149324.8964739,162
1592992800000,2020-06-24 10:00:00,ETHUSDC,242.22,242.57,236.34,238.25,1474.46634,353419.5805139,395
1592989200000,2020-06-24 09:00:00,ETHUSDC,242.67,242.96,242.04,242.42,231.57139,56125.2284371,67
1592985600000,2020-06-24 08:00:00,ETHUSDC,241.86,243.16,241.66,242.85,120.71761,29292.0539799,75
1592982000000,2020-06-24 07:00:00,ETHUSDC,248.0,248.17,241.4,242.0,1078.31753,262876.7927178,325
1592978400000,2020-06-24 06:00:00,ETHUSDC,248.29,248.77,247.45,248.0,362.80048,89969.3078971,132
